# Data from Open Admin Data (https://openadmindata.org/tg/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/togo-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.prefecture,children_count.canton,zip_codes,geo.lat,geo.lon,source_url
TG01,1,Région,Region,Centrale,Centrale,centrale-tg01,TG01,,,,,,5,59,,8.614,1.046,https://openadmindata.org/tg/regions/centrale-tg01/
TG0101,2,Préfecture,Prefecture,Blitta,Blitta,blitta-tg0101,TG0101,,TG01,Centrale,Centrale,,,21,,8.152,0.933,
TG0102,2,Préfecture,Prefecture,Plaine du Mo,Plaine du Mo,plaine-du-mo-tg0102,TG0102,,TG01,Centrale,Centrale,,,5,,8.765,0.549,
TG0103,2,Préfecture,Prefecture,Sotouboua,Sotouboua,sotouboua-tg0103,TG0103,,TG01,Centrale,Centrale,,,11,,8.705,0.961,
TG0104,2,Préfecture,Prefecture,Tchamba,Tchamba,tchamba-tg0104,TG0104,,TG01,Centrale,Centrale,,,10,,8.819,1.477,
TG0105,2,Préfecture,Prefecture,Tchaoudjo,Tchaoudjo,tchaoudjo-tg0105,TG0105,,TG01,Centrale,Centrale,,,12,,8.992,1.13,
TG02,1,Région,Region,Kara,Kara,kara-tg02,TG02,,,,,,7,75,,9.565,0.808,https://openadmindata.org/tg/regions/kara-tg02/
TG0201,2,Préfecture,Prefecture,Assoli,Assoli,assoli-tg0201,TG0201,,TG02,Kara,Kara,,,6,,9.337,1.185,
TG0202,2,Préfecture,Prefecture,Bassar,Bassar,bassar-tg0202,TG0202,,TG02,Kara,Kara,,,10,,9.252,0.769,
TG0203,2,Préfecture,Prefecture,Binah,Binah,binah-tg0203,TG0203,,TG02,Kara,Kara,,,9,,9.754,1.281,
TG0204,2,Préfecture,Prefecture,Dankpen,Dankpen,dankpen-tg0204,TG0204,,TG02,Kara,Kara,,,12,,9.726,0.593,
TG0205,2,Préfecture,Prefecture,Doufelgou,Doufelgou,doufelgou-tg0205,TG0205,,TG02,Kara,Kara,,,14,,9.838,1.033,
TG0206,2,Préfecture,Prefecture,Keran,Keran,keran-tg0206,TG0206,,TG02,Kara,Kara,,,9,,10.069,0.975,
TG0207,2,Préfecture,Prefecture,Kozah,Kozah,kozah-tg0207,TG0207,,TG02,Kara,Kara,,,15,,9.558,1.143,
TG03,1,Région,Region,Maritime,Maritime,maritime-tg03,TG03,,,,,,9,68,,6.515,1.21,https://openadmindata.org/tg/regions/maritime-tg03/
TG0301,2,Préfecture,Prefecture,Ave,Ave,ave-tg0301,TG0301,,TG03,Maritime,Maritime,,,7,,6.439,0.914,
TG0302,2,Préfecture,Prefecture,Bas-Mono,Bas-Mono,bas-mono-tg0302,TG0302,,TG03,Maritime,Maritime,,,5,,6.471,1.661,
TG0303,2,Préfecture,Prefecture,Golfe,Golfe,golfe-tg0303,TG0303,,TG03,Maritime,Maritime,,,4,,6.19,1.134,
TG0304,2,Préfecture,Prefecture,Lacs,Lacs,lacs-tg0304,TG0304,,TG03,Maritime,Maritime,,,7,,6.299,1.697,
TG0305,2,Préfecture,Prefecture,Lome Commune,Lome Commune,lome-commune-tg0305,TG0305,,TG03,Maritime,Maritime,,,1,,6.157,1.246,
TG0306,2,Préfecture,Prefecture,Vo,Vo,vo-tg0306,TG0306,,TG03,Maritime,Maritime,,,10,,6.393,1.5,
TG0307,2,Préfecture,Prefecture,Yoto,Yoto,yoto-tg0307,TG0307,,TG03,Maritime,Maritime,,,12,,6.67,1.452,
TG0308,2,Préfecture,Prefecture,Zio,Zio,zio-tg0308,TG0308,,TG03,Maritime,Maritime,,,16,,6.533,1.156,
TG0309,2,Préfecture,Prefecture,Agoe-Nyive,Agoe-Nyive,agoe-nyive-tg0309,TG0309,,TG03,Maritime,Maritime,,,6,,6.285,1.205,
TG04,1,Région,Region,Plateaux,Plateaux,plateaux-tg04,TG04,,,,,,12,103,,7.496,1.095,https://openadmindata.org/tg/regions/plateaux-tg04/
TG0401,2,Préfecture,Prefecture,Amou,Amou,amou-tg0401,TG0401,,TG04,Plateaux,Plateaux,,,14,,7.54,1.066,
TG0402,2,Préfecture,Prefecture,Wawa,Wawa,wawa-tg0402,TG0402,,TG04,Plateaux,Plateaux,,,9,,7.543,0.76,
TG0403,2,Préfecture,Prefecture,Agou,Agou,agou-tg0403,TG0403,,TG04,Plateaux,Plateaux,,,11,,6.755,0.767,
TG0404,2,Préfecture,Prefecture,Danyi,Danyi,danyi-tg0404,TG0404,,TG04,Plateaux,Plateaux,,,5,,7.231,0.693,
TG0405,2,Préfecture,Prefecture,Est-Mono,Est-Mono,est-mono-tg0405,TG0405,,TG04,Plateaux,Plateaux,,,7,,8.139,1.448,
TG0406,2,Préfecture,Prefecture,Haho,Haho,haho-tg0406,TG0406,,TG04,Plateaux,Plateaux,,,8,,7.025,1.224,
TG0407,2,Préfecture,Prefecture,Kpele,Kpele,kpele-tg0407,TG0407,,TG04,Plateaux,Plateaux,,,9,,7.116,0.806,
TG0408,2,Préfecture,Prefecture,Moyen-Mono,Moyen-Mono,moyen-mono-tg0408,TG0408,,TG04,Plateaux,Plateaux,,,6,,7.196,1.558,
TG0409,2,Préfecture,Prefecture,Ogou,Ogou,ogou-tg0409,TG0409,,TG04,Plateaux,Plateaux,,,8,,7.463,1.276,
TG0410,2,Préfecture,Prefecture,Akebou,Akebou,akebou-tg0410,TG0410,,TG04,Plateaux,Plateaux,,,8,,7.828,0.753,
TG0411,2,Préfecture,Prefecture,Anie,Anie,anie-tg0411,TG0411,,TG04,Plateaux,Plateaux,,,6,,7.696,1.403,
TG0412,2,Préfecture,Prefecture,Kloto,Kloto,kloto-tg0412,TG0412,,TG04,Plateaux,Plateaux,,,12,,6.92,0.63,
TG05,1,Région,Region,Savanes,Savanes,savanes-tg05,TG05,,,,,,7,68,,10.508,0.463,https://openadmindata.org/tg/regions/savanes-tg05/
TG0513,2,Préfecture,Prefecture,Kpendjal,Kpendjal,kpendjal-tg0513,TG0513,,TG05,Savanes,Savanes,,,4,,10.801,0.701,
TG0514,2,Préfecture,Prefecture,Oti,Oti,oti-tg0514,TG0514,,TG05,Savanes,Savanes,,,8,,10.406,0.411,
TG0515,2,Préfecture,Prefecture,Tandjoare,Tandjoare,tandjoare-tg0515,TG0515,,TG05,Savanes,Savanes,,,16,,10.606,0.16,
TG0516,2,Préfecture,Prefecture,Tone,Tone,tone-tg0516,TG0516,,TG05,Savanes,Savanes,,,17,,10.868,0.169,
TG0517,2,Préfecture,Prefecture,Cinkasse,Cinkasse,cinkasse-tg0517,TG0517,,TG05,Savanes,Savanes,,,8,,11.05,0.102,
TG0518,2,Préfecture,Prefecture,Naki-Ouest,Naki-Ouest,naki-ouest-tg0518,TG0518,,TG05,Savanes,Savanes,,,7,,10.831,0.45,
TG0519,2,Préfecture,Prefecture,Oti-Sud,Oti-Sud,oti-sud-tg0519,TG0519,,TG05,Savanes,Savanes,,,8,,10.288,0.719,
