id,name.local,name.en,name.slug,code.id,children_count.canton,geo.lat,geo.lon
TG0201,Assoli,Assoli,assoli-tg0201,TG0201,6,9.337,1.185
TG0202,Bassar,Bassar,bassar-tg0202,TG0202,10,9.252,0.769
TG0203,Binah,Binah,binah-tg0203,TG0203,9,9.754,1.281
TG0204,Dankpen,Dankpen,dankpen-tg0204,TG0204,12,9.726,0.593
TG0205,Doufelgou,Doufelgou,doufelgou-tg0205,TG0205,14,9.838,1.033
TG0206,Keran,Keran,keran-tg0206,TG0206,9,10.069,0.975
TG0207,Kozah,Kozah,kozah-tg0207,TG0207,15,9.558,1.143
